id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,egocentric,charades_video
D3TR8EGO,2Q9D,Closet / Walk-in closet / Spear closet,7,7,Yes,A person walks into the closet and turns on the light. The person is eating some food and drinking a glass of water.,cup/glass/bottle;door;food;glass of water;light;sandwich,The person in the video walks into a room and proceeds to eat and drink something.,c156 3.90 12.00;c061 8.20 12.50;c106 9.90 18.40;c067 12.80 17.90;c008 12.20 18.70;c065 11.20 18.10;c104 11.70 17.60;c006 12.50 17.90;c156 3.90 31.25;c107 1.00 31.25;c061 1.30 29.70;c106 10.90 31.25,31.79,Yes,1K0SU
65JW9EGO,ZG1V,Living room,3,7,Yes,"A person was walking towards the sofa, and taking a pillow off of the sofa, and throwing it on the floor.  Then they stop and stare out the window while drinking an unknown something from a cup.",couch;floor;food;glass;pillow;table;window,A person walks into a room and grabs a pillow off the couch that they throw on the floor then drink from a glass while looking out the window then put the glass on the table.,c109 19.90 24.29;c107 16.80 23.80;c106 10.10 21.00;c077 0.00 3.80;c126 0.00 3.60;c110 5.40 10.10;c154 0.00 18.30;c061 18.80 24.29;c079 6.20 10.80;c110 7.60 24.29;c080 5.00 10.40;c076 5.10 10.80;c092 8.00 24.29,27.38,Yes,
3UML4EGO,0AC0,Home Office / Study (A room in a house used for work),7,7,Yes,"A person is sitting in a chair in their home office. They are sneezing as they play on their phone. They put their phone down and pick up the coffee, and start drinking it",chair;coffee;cup;desk;phone;table,"person is sitting on a chair playing on the phone and sneezing, then put the phone on the desk and drinks coffee from a cup",c107 16.50 22.04;c110 15.30 21.00;c109 23.10 22.04;c017 13.50 21.40;c015 0.00 16.60;c153 10.20 16.30;c059 0.00 22.04;c106 17.30 22.04;c011 0.00 22.04,26.75,Yes,
6U5TEEGO,5LWB,Bathroom,6,6,Yes,One person washes a mirror and tidies up while another person grasps a blanket.,blanket;cloth;mirror;sofa/couch;towel,A person cleans mirror and another person takes towel.,c073 14.90 20.00;c095 0.00 15.90;c070 10.20 20.00;c000 0.00 20.00;c002 0.10 20.00;c035 0.00 20.00;c154 12.30 17.90;c123 0.00 5.20,21.75,Yes,YFZRG
KCSBQEGO,UN1T,Living room,6,5,Yes,A smiling person is fixing a window in their living room with a towel over their shoulder.,tool;towel;window,The person appears to be fixing a window in the evening.,,35.67,Yes,SKUOZ
F6XROEGO,U259,Living room,7,5,Yes,"One person works at tidying the area with a broom, then grasps a book from the closet.",book;broom;floor,"A person holds a broom with one hand and sweeps the floor, then picks up a book.",c127 0.70 13.10;c030 10.40 15.60;c026 11.60 18.60;c098 0.00 14.10;c102 1.20 14.30;c099 8.60 13.70;c115 10.70 15.90,16.58,Yes,V7T91
AAF6UEGO,UN1T,Bedroom,5,7,Yes,"In the bedroom, a person is sitting near their window playing a game on their phone. They place the phone down for a moment, and begin to pour some water into their glass. They take the glass and begin to drink the water. They walk to the doorway and out of the room.",bed;cup/glass/bottle;dish;doorway;food;phone;sofa/couch;table;thermos,"Person swipes on phone, places phone down to grab a drink and then walks somewhere.",c097 29.90 33.42;c107 16.00 23.40;c109 26.20 31.40;c017 12.60 17.30;c009 12.80 17.90;c110 0.00 26.40;c135 0.00 30.40;c016 0.00 16.60;c106 21.20 30.20;c154 26.50 33.00;c015 0.00 17.30;c118 16.20 30.40;c011 0.00 31.60;c110 13.70 21.40;c009 19.00 25.20;c108 17.10 23.90;c009 14.40 33.42;c156 9.80 33.42;c123 2.30 33.42;c108 27.20 33.42,35.58,Yes,
28DG6EGO,OUKK,Dining room,6,7,Yes,"Person walks through doorway into dining room, holding a sandwich. Person takes a bite of the sandwich and begins tidying up dining room table.",book;clothes;cup;dish;doorway;food;napkins;plate;room;sandwich;table,"A person walks in to the dining room, looks around, takes a bite from a sandwich, and clears the table.",c097 0.00 2.70;c012 8.20 25.00;c156 4.70 9.80;c009 6.30 12.10;c068 6.70 12.60;c118 0.00 8.30;c069 0.00 7.40;c012 16.40 21.40;c004 7.50 20.70;c156 0.00 3.80;c009 12.60 19.40;c068 10.90 15.60;c067 0.00 8.60;c097 0.00 6.70;c061 0.00 8.60;c065 0.10 7.30;c119 2.60 8.40,22.96,Yes,52MV9
ZILCIEGO,U259,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,"A person is walking into the room holding a bag of groceries. Putting them down, the person reaches out to grasp the door.",bag;door;groceries,"A person walks through a doorway carrying a bag, then sets the bag on the ground.",c130 4.00 9.40;c023 0.00 2.70;c020 0.00 8.10;c022 4.00 9.10;c097 0.00 6.60;c008 2.10 7.00;c006 3.80 9.42,10.92,Yes,8BBX0
I3G5LEGO,ICRY,Bedroom,4,7,Yes,A person is sitting on the bed watching television and grasping a blanket.  The person throws the blanket on the floor and takes a drink of a glass of water that is sitting on the desk.,bed;blanket;clothes;floor;glass;television;water,"person is sitting on a bed snuggling with a blanket watching television, the person reach for grab a glass of water that is on top of a desk and drinks.",c072 0.00 26.40;c070 0.00 25.60;c135 0.00 30.38;c107 26.60 30.38;c106 29.80 30.38;c154 25.40 30.38;c110 26.60 30.38;c074 23.80 29.40;c132 0.00 27.40;c126 23.40 29.40;c001 32.60 30.38,40.00,Yes,GYAR9
