,Action_end_bvh_frame,Action_end_rgb_frame,Action_end_rgb_sec,Action_label,Action_start_bvh_frame,Action_start_rgb_frame,Action_start_rgb_sec,Duration_sec,File,Meta_action_class_number,Meta_action_label,Operation,Recurrence,Subject
0,1071,270,9.0,[OP010] Consult sheets,324,82,2.72,6.28,P01_R01,2,Consult sheets,OP010,R01,P01
1,1528,385,12.84,[OP010] Catch Fixture key LARD,1343,338,11.28,1.56,P01_R01,7,Picking left,OP010,R01,P01
2,2247,566,18.88,[OP010] Place LARD on Profile P360-1,1647,415,13.84,5.04,P01_R01,12,Assemble system,OP010,R01,P01
3,3028,762,25.44,[OP010] Catch Fixation FIXA1,2776,699,23.32,2.12,P01_R01,6,Picking in front,OP010,R01,P01
4,3428,863,28.8,[OP010] Place FIXA1 on LARD at 160mm,3152,794,26.48,2.32,P01_R01,12,Assemble system,OP010,R01,P01
5,3857,971,32.4,[OP010] Catch Bolt B820,3719,936,31.24,1.16,P01_R01,7,Picking left,OP010,R01,P01
6,4514,1136,37.92,[OP010] Take measuring rod,4352,1096,36.56,1.36,P01_R01,8,Take measuring rod,OP010,R01,P01
7,4809,1211,40.4,[OP010] Take screwdriver,4685,1180,39.36,1.04,P01_R01,4,Take screwdriver,OP010,R01,P01
8,5304,1335,44.56,[OP010] Screw FIXA1 with B820,4904,1235,41.2,3.36,P01_R01,12,Assemble system,OP010,R01,P01
9,5623,1416,47.24,[OP010] Put down screwdriver,5328,1341,44.76,2.48,P01_R01,5,Put down screwdriver,OP010,R01,P01
10,5847,1472,49.12,[OP010] Put down measuring rod,5628,1417,47.28,1.84,P01_R01,9,Put down measuring rod,OP010,R01,P01
11,6847,1724,57.52,[OP020] Turn sheets,6490,1634,54.52,3.0,P01_R01,3,Turn sheets,OP020,R01,P01
12,6918,1742,58.12,[OP020] Consult sheets,6851,1725,57.56,0.56,P01_R01,2,Consult sheets,OP020,R01,P01
13,7218,1817,60.64,[OP020] Catch Fixture key LARD,6994,1761,58.76,1.88,P01_R01,7,Picking left,OP020,R01,P01
14,7889,1986,66.28,[OP020] Place LARD on P360-1,7270,1831,61.08,5.2,P01_R01,12,Assemble system,OP020,R01,P01
15,8251,2078,69.32,[OP020] Catch Bolt B820,7923,1995,66.56,2.76,P01_R01,7,Picking left,OP020,R01,P01
16,8575,2159,72.04,[OP020] Catch Fixation FIXA1,8318,2094,69.88,2.16,P01_R01,6,Picking in front,OP020,R01,P01
17,9756,2456,81.96,[OP020] Place FIXA1 on LARD at 160mm,8756,2205,73.56,8.4,P01_R01,12,Assemble system,OP020,R01,P01
18,9913,2496,83.28,[OP020] Take screwdriver,9789,2465,82.24,1.04,P01_R01,4,Take screwdriver,OP020,R01,P01
19,10341,2604,86.88,[OP020] Take measuring rod,10061,2533,84.52,2.36,P01_R01,8,Take measuring rod,OP020,R01,P01
20,10951,2757,92.0,[OP020] Screw FIXA1 with B820,10441,2629,87.72,4.28,P01_R01,12,Assemble system,OP020,R01,P01
21,11075,2788,93.04,[OP020] Put down screwdriver,10989,2767,92.32,0.72,P01_R01,5,Put down screwdriver,OP020,R01,P01
22,11360,2860,95.44,[OP020] Put down measuring rod,11084,2791,93.12,2.32,P01_R01,9,Put down measuring rod,OP020,R01,P01
23,13098,3298,110.04,[OP030] Consult sheets,12751,3210,107.12,2.92,P01_R01,2,Consult sheets,OP030,R01,P01
24,13427,3381,112.8,[OP030] Catch Fixture key LARD (x2),13227,3330,111.12,1.68,P01_R01,7,Picking left,OP030,R01,P01
25,14146,3562,118.84,[OP030] Place LARD on P360-1 (x2),13912,3503,116.88,1.96,P01_R01,12,Assemble system,OP030,R01,P01
26,15312,3855,128.64,[OP030] Catch Fixation FIXT (x2),14817,3731,124.48,4.16,P01_R01,6,Picking in front,OP030,R01,P01
27,16022,4034,134.60001,[OP030] Place FIXT on LARD (x2),15474,3896,130.0,4.6,P01_R01,12,Assemble system,OP030,R01,P01
28,16498,4154,138.60001,[OP030] Catch Pillow block bearing PAL4019 (x2),16241,4089,136.44,2.16,P01_R01,6,Picking in front,OP030,R01,P01
29,16783,4226,141.0,[OP030] Place PAL4019 on FIXT (x2),16517,4159,138.75999,2.24,P01_R01,12,Assemble system,OP030,R01,P01
30,17322,4361,145.52,[OP030] Catch Bolt B840 (x2),17126,4312,143.88,1.64,P01_R01,7,Picking left,OP030,R01,P01
31,17712,4460,148.8,[OP030] Take screwdriver,17636,4440,148.16,0.64,P01_R01,4,Take screwdriver,OP030,R01,P01
32,18231,4590,153.16,[OP030] Screw PAL4019 with B820 (x2),17721,4462,148.88,4.28,P01_R01,12,Assemble system,OP030,R01,P01
33,18521,4663,155.60001,[OP030] Put down screwdriver,18240,4593,153.24001,2.36,P01_R01,5,Put down screwdriver,OP030,R01,P01
34,18945,4770,159.16,[OP030] Catch Cover CAPO (x2),18674,4702,156.88,2.28,P01_R01,6,Picking in front,OP030,R01,P01
35,19564,4926,164.36,[OP030] Consult sheets,19045,4795,160.0,4.36,P01_R01,2,Consult sheets,OP030,R01,P01
36,20012,5039,168.12,[OP030] Place CAPO on P360-1(x2),19735,4969,165.8,2.32,P01_R01,12,Assemble system,OP030,R01,P01
